id,name,task_description,area,budgeted_amount,status,asset_id,asset_type,fiscal_year,start_date,inactive,neighborhood
1085701691,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Moore Park,Facility Improvement,10400,Completed,,Non-Asset,2018,2018-02-08,f,Brookline
222267082,SPORT FACILITY IMPROVEMENTS,Court Renovation with Color Coat  - Moore Park,Facility Improvement,90000,Completed,Moore Park Basketball Court 1,Court,2017,2017-03-01,f,Brookline
243194608,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Ormsby Park,Facility Improvement,41250,In Progress,Ormsby Park Basketball Court 1,Court,2019,2019-03-26,f,South Side Flats
1335337082,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Fort Pitt Park,Facility Improvement,5200,In Progress,,Non-Asset,2019,2019-03-26,f,Garfield
652658627,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Allegheny Commons West Park Tennis,Facility Improvement,5200,Completed,,Non-Asset,2017,2017-03-01,f,Allegheny Center
1566874763,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Enright Park,Facility Improvement,5200,In Progress,,Non-Asset,2019,2019-03-26,f,East Liberty
1993744611,SPORT FACILITY IMPROVEMENTS,Court Activation Button - McKinley Park,Facility Improvement,5200,In Progress,,Non-Asset,2018,2018-02-08,f,Beltzhoover
1521522321,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Fairywood Park,Facility Improvement,5200,In Progress,,Non-Asset,2019,2019-03-26,f,Fairywood
609954304,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Arsenal Park,Facility Improvement,5200,In Progress,,Non-Asset,2019,2019-03-26,f,Lower Lawrenceville
535303304,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Manchester Playground,Facility Improvement,5200,Planned,,Non-Asset,2017,2017-03-01,f,Manchester
1373890833,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Niagara Park,Facility Improvement,49500,In Progress,Niagara Park Basketball Court 1,Court,2019,2019-03-26,f,South Oakland
140033125,SPORT FACILITY IMPROVEMENTS,Court Renovation with Color Coat - Frazier Park,Facility Improvement,26125,In Progress,Frazier Park Basketball Court 1,Court,2019,2019-03-26,f,South Oakland
1380308814,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Arlington Park,Facility Improvement,5200,In Progress,,Non-Asset,2019,2019-03-26,f,South Side Slopes
963264725,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Herschel Park,Facility Improvement,10400,Completed,,Non-Asset,2017,2017-03-01,f,Elliott
1616174703,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Lewis Playground,Facility Improvement,5200,Completed,,Non-Asset,2017,2017-03-01,f,Hazelwood
571300353,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Magee Playground,Facility Improvement,5200,Completed,,Non-Asset,2018,2018-02-08,f,Greenfield
1917378136,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Granville Park,Facility Improvement,23156.25,In Progress,Granville Park Basketball Court 1,Court,2018,2018-09-26,f,Crawford-Roberts
1230345016,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Robert E Williams Park,Facility Improvement,10968.75,In Progress,Robert E. Williams Park Basketball Court 1 Herron,Court,2018,2018-09-26,f,Upper Hill
1497890897,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Marmaduke,Facility Improvement,5200,Completed,,Non-Asset,2017,2017-03-01,f,Brighton Heights
1833192417,SPORT FACILITY IMPROVEMENTS,ADA Bleachers for Dek Hockey - Marmaduke,Facility Improvement,39000,Completed,Marmaduke Park Dek Hockey Court,Court,2017,2017-03-01,f,Brighton Heights
132071348,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Paulson Playground,Facility Improvement,5200,Planned,,Non-Asset,2017,2017-03-02,f,Lincoln-Lemington-Belmar
1298882467,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Joe Natoli Playground,Facility Improvement,5200,Canceled,,Non-Asset,2017,2017-03-02,f,Morningside
658990937,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Kennard Park,Facility Improvement,5200,In Progress,,Non-Asset,2018,2018-09-26,f,Terrace Village
1836552447,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Spring Hill Park,Facility Improvement,5200,Planned,,Non-Asset,2017,2017-03-02,f,Spring Hill-City View
221645687,SPORT FACILITY IMPROVEMENTS,Court Activation Button - East Hills,Facility Improvement,5200,In Progress,,Non-Asset,2018,2018-09-26,f,East Hills
141982731,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Kennard Park,Facility Improvement,77062.5,In Progress,Kennard Park Basketball Court 4,Court,2018,2018-09-26,f,Terrace Village
1446706248,SPORT FACILITY IMPROVEMENTS,Court Renovation with Color Coat - Spring Hill Park,Facility Improvement,121000,Planned,Spring Hill Park Hockey Court 1,Court,2017,2017-03-02,f,Spring Hill-City View
243930016,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Winters Park,Facility Improvement,26250,In Progress,Winters Park Basketball Court 1,Court,2018,2018-09-26,f,South Side Slopes
111785401,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Stratmore Park,Facility Improvement,55312.5,Canceled,Stratmore Park Basketball Court 1,Court,2017,2017-03-02,f,Crafton Heights
1549788813,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Vincennes Park,Facility Improvement,19125,In Progress,Vincennes Park Basketball Court 1,Court,2018,2018-09-26,f,Middle Hill
850575494,SPORT FACILITY IMPROVEMENTS,,Facility Improvement,50000,Planned,Alton Concession Stand,Facility,2017,2017-03-02,f,Beechview
1082939755,AUDIBLE PEDESTRIAN AND TRAFFIC SIGNALS,Haberman/Warrington/Busway Intersection Signal Update Design and Construction,Engineering and Construction,25000,Canceled,,Non-Asset,2017,2017-03-02,f,Mount Washington
225411715,18TH STREET SIGNAL UPDATES (TIP),Preliminary Engineering,Engineering and Construction,52600,In Progress,,Non-Asset,2018,2018-02-08,f,South Side Slopes
1782220567,18TH STREET SIGNAL UPDATES (TIP),Preliminary Engineering,Engineering and Construction,210400,In Progress,,Non-Asset,2018,2018-02-08,f,South Side Slopes
856704340,BIKE INFRASTRUCTURE,Bike Lanes - Brighton Road,Engineering and Construction,70000,Planned,,Non-Asset,2017,2017-03-02,f,California-Kirkbride
1856775266,"PENN AVENUE RECONSTRUCTION, PHASE II (TIP)",Final Design,Engineering and Construction,100000,Planned,,Non-Asset,2017,2017-03-02,f,Bloomfield
1379514684,"PENN AVENUE RECONSTRUCTION, PHASE II (TIP)",Penn Avenue and Evaline Street,Engineering and Construction,400000,In Progress,,Non-Asset,2018,2018-02-08,f,Bloomfield
520868950,SMITHFIELD STREET (TIP),Smithfield Street - Forbes Avenue to 6th Avenue,Engineering and Construction,150000,Planned,,Non-Asset,2017,2017-03-02,f,Central Business District
2142286454,SMITHFIELD STREET (TIP),Smithfield Street - Forbes Avenue to 6th Avenue,Engineering and Construction,600000,Planned,,Non-Asset,2017,2017-03-02,f,Central Business District
1270928541,STREET RESURFACING,Sampsonia Way Green Alley,Engineering and Construction,150000,Planned,,Non-Asset,2017,2017-03-02,f,Central Northside
1431663848,STREETSCAPE AND INTERSECTION RECONSTRUCTION,Allegheny Circle Phase 2 (SMART),Engineering and Construction,735343,In Progress,,Non-Asset,2018,2018-02-08,f,Allegheny Center
2109039920,STREETSCAPE AND INTERSECTION RECONSTRUCTION,Allegheny Circle Phase 2 (SMART),Engineering and Construction,741196,In Progress,,Non-Asset,2018,2018-02-08,f,Allegheny Center
714423902,STREETSCAPE AND INTERSECTION RECONSTRUCTION,Broadway Avenue Complete Streets Streetscape Improvements - Design,Engineering and Construction,150000,In Progress,,Non-Asset,2018,2018-02-08,f,Beechview
869288104,STREETSCAPE AND INTERSECTION RECONSTRUCTION,Haberman/Warrington/Busway Intersection Crosswalks and Signage,Engineering and Construction,15000,Canceled,,Non-Asset,2017,2017-03-02,f,Beltzhoover
1005385149,STREETSCAPE AND INTERSECTION RECONSTRUCTION,Lowrie Street,Engineering and Construction,80000,Completed,,Non-Asset,2017,2017-03-02,f,Troy Hill
1416406457,STREETSCAPE AND INTERSECTION RECONSTRUCTION,SS Neighborhood Street (SMART),Engineering and Construction,149857,In Progress,,Non-Asset,2018,2018-02-08,f,South Side Flats
979007814,STREETSCAPE AND INTERSECTION RECONSTRUCTION,SS Neighborhood Street (SMART),Engineering and Construction,599426,In Progress,,Non-Asset,2018,2018-02-08,f,South Side Flats
10706957,STREETSCAPE AND INTERSECTION RECONSTRUCTION,Trelona Way Reconstruction,Engineering and Construction,100000,Planned,,Non-Asset,2017,2017-03-02,f,Brookline
435407467,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Jefferson Park,Facility Improvement,19687.5,In Progress,Jefferson Park Basketball Court 1,Court,2018,2018-09-26,f,Central Northside
938797441,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Jefferson Park,Facility Improvement,19687.5,In Progress,Jefferson Park Basketball Court 2,Court,2018,2018-09-26,f,Central Northside
2128765013,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - McKinley Park,Facility Improvement,22687.5,In Progress,McKinley Park Tennis Court 3,Court,2018,2018-09-26,f,Beltzhoover
806581670,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - McKinley Park,Facility Improvement,22687.5,In Progress,McKinley Park Tennis Court 4,Court,2018,2018-09-26,f,Beltzhoover
1175169281,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Arlington Park,Facility Improvement,38250,Canceled,Arlington Park Basketball Court 1,Court,2017,2017-03-07,f,South Side Slopes
108565470,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Phillips Park,Facility Improvement,21750,In Progress,Phillips Park Tennis Court 1,Court,2018,2018-09-26,f,Carrick
17162819,SPORT FACILITY IMPROVEMENTS,Court Repair with ARMORÂ® Crack and Color Coating - Phillips Park,Facility Improvement,21750,In Progress,Phillips Park Basketball Court 1,Court,2018,2018-09-26,f,Carrick
1455673214,SPORT FACILITY IMPROVEMENTS,Court Renovation with Color Coat - Arsenal Park,Facility Improvement,28500,Planned,Arsenal Basketball Court 1,Court,2017,2017-03-07,f,Lower Lawrenceville
1174677079,SPORT FACILITY IMPROVEMENTS,Court Renovation with Color Coat - Arsenal Park,Facility Improvement,28500,Planned,Arsenal Hockey Court 1,Court,2017,2017-03-07,f,Lower Lawrenceville
1281040949,TRAIL DEVELOPMENT,Mon Wharf Switchback - Design and Construction,Engineering and Construction,100000,In Progress,,Non-Asset,2018,2018-02-08,f,Central Business District
1331003671,TRAIL DEVELOPMENT,Mon Wharf Switchback - Design and Construction,Engineering and Construction,2900000,In Progress,,Non-Asset,2018,2018-02-08,f,Central Business District
2069679765,TRAIL DEVELOPMENT,Washington Boulevard Multimodal Path Design/Engineering (SMART Transportation Grant),Engineering and Construction,109755,Planned,,Non-Asset,2017,2017-03-15,f,Highland Park
1715780576,TRAIL DEVELOPMENT,Washington Boulevard Multimodal Path Construction (SMART Transportation Grant),Engineering and Construction,448471,Planned,,Non-Asset,2017,2017-03-15,f,Highland Park
714473310,RAMP AND PUBLIC SIDEWALK,Pinecastle Avenue sidewalk reconstruction,Engineering and Construction,50000,Completed,Pinecastle Ave,Sidewalk,2017,2017-03-15,f,Overbrook
1745906161,BEECHVIEW COMMUNITY AND SENIOR CENTER,Beechview Senior Center Closeout,Facility Improvement,250000,Completed,Beechview Senior and Community Center,Facility,2018,2018-02-08,f,Beechview
1464142515,7500 - FACILITY IMPROVEMENTS,EIFS & Glazing Replacement,Facility Improvement,380000,Completed,Firehouse 22,Facility,2017,2017-08-28,f,South Side Slopes
1137635699,7500 - FACILITY IMPROVEMENTS,Exterior Masonry Repairs by Contractor,Facility Improvement,167000,Completed,Firehouse 26,Facility,2017,2017-03-20,f,Brookline
913335422,7500 - FACILITY IMPROVEMENTS,,Facility Improvement,122595,Completed,Arsenal Park Building,Roofing System,2017,2017-04-03,f,Lower Lawrenceville
759573196,7500 - FACILITY IMPROVEMENTS,,Facility Improvement,24414.57,Completed,Arsenal Park Building,Facility,2017,2017-04-17,f,Lower Lawrenceville
2001704845,7500 - FACILITY IMPROVEMENTS,Exterior Masonry Repairs,Facility Improvement,187000,Completed,Firehouse 28,Facility,2017,2017-05-15,f,Beechview
392003694,7500 - FACILITY IMPROVEMENTS,Exterior Masonry Repairs and Cleaning,Facility Improvement,,Completed,Olympia Park Recreation Center,Facility,2017,2017-06-08,f,Mount Washington
302632301,,Exterior Masonry Repairs,,,Completed,Firehouse 19,Facility,2017,2017-08-02,f,Swisshelm Park
203837658,7500 - FACILITY IMPROVEMENTS,Law Dept Abatement & Renovation,Facility Improvement,75000,Completed,City-County Building,Facility,2017,2017-11-14,f,Central Business District
1969596196,ADA COMPLIANCE,Glen Hazel - Hearing Loops in Healthy Active Living Centers,Administration/Sub-Award,7000,Planned,Glen Hazel Senior Center,Facility,2018,2018-02-12,f,Glen Hazel
1068007412,ADA COMPLIANCE,Mt. Washington - Hearing Loops in Healthy Active Living Centers,Administration/Sub-Award,7000,Planned,Mount Washington Senior Center,Facility,2018,2018-02-12,f,Mount Washington
2064048649,ADA COMPLIANCE,North Side - Hearing Loops in Healthy Active Living Centers,Administration/Sub-Award,6000,Planned,Allegheny Northside Senior Center and Hazlett Theater,Facility,2018,2018-02-12,f,Allegheny Center
1805006246,BOB O'CONNOR GOLF COURSE,Bob O'Connor Golf Course,Facility Improvement,200000,Planned,Schenley Park Golf Course Clubhouse,Facility,2018,2018-02-12,f,Squirrel Hill North
854699887,FACILITY IMPROVEMENTS - CITY FACILITIES,City-County Building - Elevator Modernization,Facility Improvement,722952,In Progress,City-County Building,Facility,2019,2019-05-16,f,Central Business District
2097493471,FACILITY IMPROVEMENTS - CITY FACILITIES,City-County Building - Roof,Facility Improvement,1200000,Completed,City-County Building,Facility,2018,2018-08-15,f,Central Business District
883313563,FACILITY IMPROVEMENTS - CITY FACILITIES,City-Owned Facilities - Demolition and Abatement,Facility Improvement,532893,In Progress,City-County Building,Facility,2018,2018-08-15,f,Central Business District
112797324,FACILITY IMPROVEMENTS - CITY FACILITIES,Division 1 - Asbestos Abatement,Facility Improvement,125000,In Progress,Public Works 1st Division Main Building,Facility,2018,2018-11-16,f,Perry North
1156526154,FACILITY IMPROVEMENTS - CITY FACILITIES,Division 1 - Roof Replacement,Facility Improvement,300000,Planned,Public Works 1st Division Main Building,Facility,2018,2018-02-12,f,Perry North
1350608789,FACILITY IMPROVEMENTS - CITY FACILITIES,Division 5 - Insulated Metal Siding,Facility Improvement,500000,In Progress,Public Works 5th Division Main Building,Facility,2019,2019-03-26,f,Elliott
1348599314,FACILITY IMPROVEMENTS - CITY FACILITIES,Division 5 - Structural Repairs,Facility Improvement,100000,In Progress,Public Works 5th Division Main Building,Facility,2019,2019-04-11,f,Elliott
1515070709,FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES,Fire Station 20/Medic 12 - Renovation,Facility Improvement,500000,In Progress,Firehouse 20 Medic 12,Facility,2019,2019-11-05,f,Hays
1437777016,FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES,"Fire Station 24 - Interior (Abatement, Repairs)",Facility Improvement,250000,In Progress,Firehouse 24,Facility,2019,2019-04-11,f,South Side Flats
693558098,FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES,Fire Station 24 - Roof Replacement,Facility Improvement,350000,Completed,Firehouse 24,Facility,2018,2018-08-15,f,South Side Flats
2107740644,FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES,Fire Station 35 - Stair Replacement,Facility Improvement,25000,In Progress,Firehouse 35,Facility,2019,2019-04-11,f,Brighton Heights
924362290,FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES,Fire Station 35 - Tower Roof Repairs,Facility Improvement,25000,Completed,Firehouse 35,Facility,2018,2018-08-15,f,Brighton Heights
964796143,FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES,Fire Station 7 - Exterior Masonry Repairs,Facility Improvement,200000,Completed,Firehouse 07 Arson,Facility,2018,2018-08-15,f,Stanton Heights
561880673,FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES,Fire Station 7 - Windows & Doors,Facility Improvement,50000,Completed,Firehouse 07 Arson,Facility,2018,2018-02-12,f,Stanton Heights
1356013768,FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES,Medic 14/Rescue 2 - Exterior Painting,Facility Improvement,50000,Canceled,Medic 14 Rescue 2 Police Bike Patrol,Facility,2018,2018-02-12,f,Central Business District
182977465,FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES,Medic 3/Police Zone 6 - Exterior Masonry Repairs,Facility Improvement,150000,Completed,Medic 03 Police Zone 06,Facility,2018,2018-02-12,f,West End
959571783,FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES,Medic 3/Police Zone 6 - Roof Replacement,Facility Improvement,200000,Completed,Medic 03 Police Zone 06,Facility,2018,2018-11-16,f,West End
1571746225,FACILITY IMPROVEMENTS - PUBLIC SAFETY FACILITIES,Medic 9 - Roof Replacement,Facility Improvement,175000,Completed,Medic 09 Rescue 1,Facility,2018,2018-08-15,f,Bloomfield
501676680,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,Brighton Heights Senior Center - Repairs,Facility Improvement,50000,Completed,Medic 09 Rescue 1,Facility,2018,2018-02-12,f,Bloomfield
207136888,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,Brookline Recreation Center - Refinish Gymnasium Floor,Facility Improvement,50000,Completed,Brookline Recreation Center,Facility,2018,2018-02-12,f,Brookline
1826819069,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,Homewood Senior Center - ADA Accessibility Design,Facility Improvement,25000,Planned,Homewood Senior Center,Facility,2018,2018-11-16,f,Homewood North
621026857,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,South Side Market House - Completion of HVAC,Facility Improvement,456000,Completed,Southside Market House,Facility,2019,2019-04-11,f,South Side Flats
1415797791,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,Warrington Rec Center - Elevator Replacement,Facility Improvement,800000,Planned,Warrington Recreation Center,Facility,2018,2018-02-12,f,Beltzhoover
771100033,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,Warrington Rec Center - Roof Replacement,Facility Improvement,260000,Planned,Warrington Recreation Center,Facility,2019,2019-03-26,f,Beltzhoover
1616589453,COMPREHENSIVE PLAN,Emerald View Park - Master Site Plan,Administration/Sub-Award,329889,Planned,Emerald View Regional Park,Park,2018,2018-02-12,f,Mount Washington
1198098818,COMPREHENSIVE PLAN,Sheraden Park Master Plan,Administration/Sub-Award,80000,Planned,Sheraden Park,Park,2018,2018-02-12,f,Sheraden
1119841190,PARK RECONSTRUCTION,Allegheny Commons Park - Sidewalk Repair,Facility Improvement,90000,In Progress,Allegheny Commons,Park,2019,2019-04-11,f,Allegheny Center
846358672,PARK RECONSTRUCTION,Brookline Park - Park Lighting Upgrade,Facility Improvement,120000,In Progress,Brookline Memorial Park,Park,2019,2019-08-12,f,Brookline
1808052567,PARK RECONSTRUCTION,Larimer Park - Sidewalk Repair,Facility Improvement,27000,In Progress,Larimer Park,Park,2019,2019-03-26,f,Larimer
1672822440,PARK RECONSTRUCTION,Leolyn Park - Sidewalk Repair,Facility Improvement,9500,Planned,Leolyn Park,Park,2018,2018-02-12,f,Carrick
1572739082,PARK RECONSTRUCTION,McKnight Park - Sidewalk Repair,Facility Improvement,45000,Planned,McKnight Park,Park,2018,2018-02-12,f,Manchester
342951413,PARK RECONSTRUCTION,Paulson Park - Sidewalk Repair,Facility Improvement,24120,Canceled,Paulson Park,Park,2019,2019-03-26,f,Lincoln-Lemington-Belmar
1096990773,PARK RECONSTRUCTION,Phillips Park Improvements,Facility Improvement,450000,Planned,Phillips Park,Park,2018,2018-02-12,f,Carrick
1871843355,PARK RECONSTRUCTION,Spring Garden Park - Sidewalk Repair,Facility Improvement,36000,Planned,Spring Garden Park,Park,2018,2018-02-12,f,Spring Garden
232384069,PARK RECONSTRUCTION,Stratmore Parklet - Sidewalk Repair,Facility Improvement,32000,Completed,Andrew Joseph Kukuruda Park,Park,2018,2018-02-12,f,Crafton Heights
2081497510,PARK RECONSTRUCTION,Wightman Park Improvements and Green Stormwater Mitigation,Facility Improvement,4003435,In Progress,Wightman Park,Park,2018,2018-04-04,f,Squirrel Hill North
1267296161,PLAY AREA IMPROVEMENTS,Allegheny Commons Park - Replace Parts,Facility Improvement,4000,Completed,Sue Murray Playground,Playground,2018,2018-02-12,f,Allegheny Center
2083103113,PLAY AREA IMPROVEMENTS,Allegheny Commons Park - Safety Surface,Facility Improvement,57000,Completed,Sue Murray Playground,Playground,2018,2018-04-04,f,Allegheny Center
671697274,PLAY AREA IMPROVEMENTS,Esplen Tot Lot - Safety Surface,Facility Improvement,40800,Completed,Esplen Playground,Playground,2018,2018-04-04,f,Esplen
1513696788,PLAY AREA IMPROVEMENTS,Herschel Playground - New Safety Surface,Facility Improvement,64434,Completed,Herschel Playground,Playground,2018,2018-04-04,f,Elliott
1346544031,PLAY AREA IMPROVEMENTS,Herschel Playground - Paint Structure,Facility Improvement,15000,Completed,Herschel Playground,Playground,2018,2018-09-26,f,Elliott
1940185223,PLAY AREA IMPROVEMENTS,Herschel Playground - Replace Parts,Facility Improvement,7000,Completed,Herschel Playground,Playground,2018,2018-09-26,f,Elliott
1323554571,PLAY AREA IMPROVEMENTS,Ormsby Park - Replace Parts,Facility Improvement,7000,Completed,Ormsby Playground,Playground,2018,2018-02-12,f,South Side Flats
20346609,PLAY AREA IMPROVEMENTS,Ormsby Park - Safety Surface,Facility Improvement,81005,Completed,Ormsby Playground,Playground,2018,2018-04-04,f,South Side Flats
1639169362,PLAY AREA IMPROVEMENTS,Osceola Park - Replace Parts,Facility Improvement,7000,Completed,Osceola Playground,Playground,2018,2018-02-12,f,Bloomfield
1174763118,PLAY AREA IMPROVEMENTS,Osceola Park - Safety Surface,Facility Improvement,67711,Completed,Osceola Playground,Playground,2018,2018-04-04,f,Bloomfield
1517385010,PLAY AREA IMPROVEMENTS,Stratmore Parklet - New Play Structure,Facility Improvement,70000,Completed,Joseph Kukuruda Playground,Playground,2018,2018-04-04,f,Crafton Heights
1420512576,PLAY AREA IMPROVEMENTS,Stratmore Parklet - New Safety Surface,Facility Improvement,30000,Completed,Joseph Kukuruda Playground,Playground,2018,2018-04-04,f,Crafton Heights
1809432803,PLAY AREA IMPROVEMENTS,Tropical Park - Replace Parts,Facility Improvement,7000,Completed,Tropical Playground,Playground,2018,2018-02-12,f,Beechview
954700445,PLAY AREA IMPROVEMENTS,Tropical Park - Safety Surface,Facility Improvement,71400,Completed,Tropical Playground,Playground,2018,2018-06-15,f,Beechview
1199496578,PLAY AREA IMPROVEMENTS,Vincennes Park - Replace Parts,Facility Improvement,7000,Completed,Vincennes Playground,Playground,2018,2018-02-12,f,Middle Hill
1682304263,PLAY AREA IMPROVEMENTS,Vincennes Park - Safety Surface,Facility Improvement,60537,Completed,Vincennes Playground,Playground,2018,2018-04-04,f,Middle Hill
574757126,PLAY AREA IMPROVEMENTS,Woods Run Park - Replace Parts,Facility Improvement,7000,Completed,Woods Run Playground,Playground,2018,2018-02-12,f,Marshall-Shadeland
335387194,PLAY AREA IMPROVEMENTS,Woods Run Park - Safety Surface,Facility Improvement,78200,Completed,Woods Run Playground,Playground,2018,2018-06-15,f,Marshall-Shadeland
130752420,CHARLES ANDERSON BRIDGE (TIP),Charles Anderson Bridge - Final Design,Engineering and Construction,2000000,Planned,Charles Anderson Bridge,Bridge,2018,2018-02-12,f,Central Oakland
1309090115,SWINBURNE BRIDGE (TIP),Swinburne Bridge - Preliminary Design,Engineering and Construction,800000,Planned,Swinburne Street Bridge,Bridge,2018,2018-02-12,f,Greenfield
2104348746,WEST OHIO STREET BRIDGE (TIP),West Ohio Street Bridge - Construction,Engineering and Construction,394176.2,Planned,West Ohio Street Bridge,Bridge,2018,2018-02-12,f,Allegheny West
215547825,FACILITY IMPROVEMENTS - SPORT FACILITIES,Brookline Park - Ballfield Fence Repair/Paint,Facility Improvement,20000,Completed,Danny McGibbeny Memorial Field,Playing Field,2018,2018-02-12,f,Brookline
880494884,FACILITY IMPROVEMENTS - SPORT FACILITIES,Brookline Park - ADA Bleachers for Dek Hockey,Facility Improvement,48000,Planned,Brookline Memorial Park Dek Hockey Court 1,Court,2018,2018-02-12,f,Brookline
1362504540,FACILITY IMPROVEMENTS - SPORT FACILITIES,Banksville Park - ADA Bleachers for Dek Hockey,Facility Improvement,48000,Planned,Banksville Park Dek Hockey Court 1,Court,2018,2018-02-12,f,Banksville
1819313483,FACILITY IMPROVEMENTS - SPORT FACILITIES,Paul J. Sciullo II Memorial Park - ADA Bleachers for Dek Hockey,Facility Improvement,48000,Planned,Paul J Sciullo Dek Hockey 1,Court,2018,2018-02-12,f,Bloomfield
1297955858,STEP REPAIR AND REPLACEMENT,Stanton Ave to McCandless Ave Step Repairs,Engineering and Construction,150000,Planned,Stanton Ave to McCandless Ave,Step,2018,2018-02-12,f,Stanton Heights
324645709,SLOPE FAILURE REMEDIATION,,Engineering and Construction,1500000,Planned,Brahm St,Retaining Wall,2018,2018-02-12,f,Spring Hill-City View
957216866,AUDIBLE PEDESTRIAN AND TRAFFIC SIGNALS,Countdown Pedestrian Signal Upgrade,Engineering and Construction,70000,Planned,TS529,Signalized Intersection,2018,2018-02-12,f,Squirrel Hill North
1320892726,AUDIBLE PEDESTRIAN AND TRAFFIC SIGNALS,North Avenue - Design,Engineering and Construction,626000,Planned,TS206,Signalized Intersection,2018,2018-02-12,f,East Allegheny
281751945,FACILITY IMPROVEMENTS - SPORT FACILITIES,McBride Park - Dek Hockey,Facility Improvement,48000,In Progress,McBride Park Basketball Court,Court,2019,2019-03-26,f,Lincoln Place
503209239,STEP REPAIR AND REPLACEMENT,,Engineering and Construction,125000,Planned,Wenzell Ave from Tole St to Louisiana Ave,Step,2018,2018-02-14,f,Beechview
171113822,18TH STREET SIGNAL UPDATES (TIP),18th Street Signal Upgrades - Final Design,Engineering and Construction,100000,Planned,TS279,Signalized Intersection,2018,2018-02-14,f,South Side Flats
1094206348,18TH STREET SIGNAL UPDATES (TIP),18th Street Signal Upgrades - Final Design,Engineering and Construction,100000,Planned,TS281,Signalized Intersection,2018,2018-02-14,f,South Side Flats
2075086284,18TH STREET SIGNAL UPDATES (TIP),18th Street Signal Upgrades - Final Design,Engineering and Construction,100000,Planned,TS280,Signalized Intersection,2018,2018-02-14,f,South Side Slopes
716043040,18TH STREET SIGNAL UPDATES (TIP),18th Street Signal Upgrades - Preliminary Design,Engineering and Construction,65667,Planned,TS279,Signalized Intersection,2018,2018-02-14,f,South Side Flats
1873229476,18TH STREET SIGNAL UPDATES (TIP),18th Street Signal Upgrades - Preliminary Design,Engineering and Construction,65667,Planned,TS281,Signalized Intersection,2018,2018-02-14,f,South Side Flats
872441123,18TH STREET SIGNAL UPDATES (TIP),18th Street Signal Upgrades - Preliminary Design,Engineering and Construction,65667,Planned,TS280,Signalized Intersection,2018,2018-02-14,f,South Side Slopes
81204408,FACILITY IMPROVEMENTS - SPORT FACILITIES,Magee Field Improvements,Facility Improvement,300000,Completed,Magee Field 1,Playing Field,2018,2018-09-26,f,Greenfield
